0)byfreeshock     by free shock 
1)lightweight     lightweight 
2)themagnetic     them a g net i c 
3)theboundary     the boundary 
4)viscousself     viscous self 
5)inthispaper     in this paper 
6)theunsteady     the unsteady 
7)symmetrical     symmetrical 
8)normalforce     normalforce 
9)placeholder     placeholder 
10)transitional     transitional 
11)hasbecomethe     has become the 
12)exactconical     exact conical 
13)compressible     compressible 
14)wherethemean     where them e an 
15)afiniteregion     a finite region 
16)itiswellknown     it is wellknown 
17)thecontinuity     the continuity 
18)inarecentnote     in are cent note 
19)stackingstudy     stacking study 
20)timehistories     time histories 
21)thestewartson     the stewartson 
22)iftheboundary     if the boundary 
23)avehiclecanbe     a vehicle can be 
24)analysisofthe     analysis of the 
25)skinstiffener     skins t if f e n er 
26)forcertainaero     force rt a in aero 
27)ateachoftwenty     at each of twenty 
28)inarecentpaper     in are cent paper 
29)asimplepicture     as im p l e picture 
30)byusingakarman     by using a karman 
31)theauthorgives     the author gives 
32)fullydeveloped     fully developed 
33)supersonicwind     supersonic wind 
34)thepresenceofa     the presence of a 
35)whererisaplane     where r is a plane 
36)footsupersonic     foot supersonic 
37)aninductiondrag     an induction drag 
38)theadventofhigh     the advent of high 
39)dimensionalwind     dimensional wind 
40)lengthmechanism     length mechanism 
41)inarecentletter     in are cent letter 
42)theeffectsoflow     the effects of low 
43)airfoilprofiles     airfoil profiles 
44)transferandskin     transfer and skin 
45)experimentsonaxi     experiments on axi 
46)atheoryofrounded     at he or y ofr o u nd e d 
47)comparisonofheat     comparison of heat 
48)theuseofboundary     the use of boundary 
49)asurveyofthestate     as u r v e y of the state 
50)reasonsforenquiry     reasons fore n q u i r y 
51)withtheabovetitle     with the above title 
52)analternativesemi     an alternatives e m i 
53)flowairfoiltheory     flow airfoil theory 
54)whichdiscussedoil     which discussed oil 
55)theresultsofshort     there s u l t so f short 
56)localheattransfer     local heattransfer 
57)inthissummarypaper     in this summary paper 
58)itispointedoutthat     it is pointed out that 
59)intheanalysisofone     in the analysis of one 
60)speedresearchontwo     speed research on two 
61)undertheabovetitle     under the above title 
62)formsolutionsofthe     forms o l u tions of the 
63)considersamaterial     considers a material 
64)theauthorrewritesv     the author rewrites v 
65)themodifiedslender     them o d if i e d slender 
66)theeffectofastrong     the effect of as tr on g 
67)theintensityofshock     the intensity of shock 
68)anapproximatemethod     an approximate method 
69)inthefirstpartofthe     in the first part of the 
70)calculationofsecond     calculation of second 
71)thehotouterinviscid     the hot outer inviscid 
72)isextendedtoinclude     is extended to include 
73)itisshownthatthetwo     it is shown that the two 
74)ananalysisofthepart     an analysis of the part 
75)aseparatedflowfield     as e para t e d flow field 
76)fromahoveringaerial     from a hovering aerial 
77)theeffectofaforward     the effect of a forward 
78)anintegralexpression     an integral expression 
79)inthepibalhypersonic     in the pibal hypersonic 
80)therelationofthetime     there la tion of the time 
81)transfercoefficients     transfer coefficients 
82)thedevelopmentrocket     the development rocket 
83)ofplanelaminarmotion     of plane laminar motion 
84)theresultsaregivenof     there s u l t s are given of 
85)infirstapproximation     in first approximation 
86)thebasisofanythermal     the basis of any thermal 
87)withoblateatmosphere     with oblate atmosphere 
88)distributionandforce     distribution and force 
89)pressuremeasurements     pressure measurements 
90)layerequationsandthe     layer equations and the 
91)amethodispresentedfor     a method is presented for 
92)thevelocitypotentials     the velocity potentials 
93)thelaplacetransformof     the laplace transform of 
94)airandheliuminjection     air and helium injection 
95)thepaperdealswithself     the paper deals with self 
96)intherecentpaperbyzuk     in there cent paper by zuk 
97)thestabilitytheoryofa     the stability theory of a 
98)thereflectionofashock     there fl e c tion of as h oc k 
99)methodsbasedonoblique     methods based on oblique 
100)pitchingmomentandfull     pitchingmoment and full 
101)withaviewtothestudyof     with a view to the study of 
102)theshapeandnatureofthe     the shape and nature of the 
103)examinationofthecrocco     examination of the crocco 
104)aninvestigationatafree     an investigation at a free 
105)tunnelinvestigationwas     tunnel investigation was 
106)anewmethodhasbeengiven     an e w method has been given 
107)amultiwebwingstructure     a multiweb wings tr u c ture 
108)ananalysisisgivenofthe     an analysis is given of the 
109)thedynamiclongitudinal     the dynamic longitudinal 
110)platetheoryforturbulent     plate theory fort u r bulent 
111)someofthetheoriesfortwo     some of the theories fort w o 
112)thisnotediscussesthetwo     this noted is c us s e s the two 
113)waveisformedinfrontofit     wave is formed in front of it 
114)testsonthestorageheater     tests on the storage heater 
115)werecarriedoutusingahot     were carried out using a hot 
116)theforciblebucklingofan     the forcible buckling of an 
117)resultsoffluttertestson     results off l u t t er tests on 
118)lagrangianmethodsinheat     lagrangian methods in heat 
119)themodelusedisthatoftwo     them o de l used is that of two 
120)thedifferentialanalyser     the differential analyser 
121)theequationsforplanartwo     the equations for planar two 
122)transversemagneticfields     transverse magnetic fields 
123)continuoussupersonicwind     continuous supersonic wind 
124)inchsupersonicwindtunnel     inch supersonic windtunnel 
